"Statistic","Annual","Local Government Districts","Components of Change","UNIT","VALUE"
"Components of population change - Local Government Districts","2019-2020","Belfast","United Kingdom Net","Count","-571"
"Components of population change - Local Government Districts","2019-2020","Belfast","Rest of world Inflows","Count","4584"
"Components of population change - Local Government Districts","2019-2020","Belfast","Rest of world Outflows","Count","5775"
"Components of population change - Local Government Districts","2019-2020","Belfast","Rest of world Net","Count","-1191"
"Components of population change - Local Government Districts","2019-2020","Belfast","Total Inflows","Count","20249"
"Components of population change - Local Government Districts","2019-2020","Belfast","Total Outflows","Count","22738"
"Components of population change - Local Government Districts","2019-2020","Belfast","Total Net","Count","-2489"
"Components of population change - Local Government Districts","2019-2020","Belfast","Other changes","Count","905"
"Components of population change - Local Government Districts","2019-2020","Belfast","Migration and other changes","Count","-1584"
"Components of population change - Local Government Districts","2019-2020","Belfast","End population","Count","342560"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","Starting population","Count","144838"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","Births","Count","1506"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","Deaths","Count","1326"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","Natural Change","Count","180"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","Internal Inflows","Count","3179"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","Internal Outflows","Count","3447"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","Internal Net","Count","-268"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","United Kingdom Inflows","Count","688"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","United Kingdom Outflows","Count","810"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","United Kingdom Net","Count","-122"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","Rest of world Inflows","Count","385"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","Rest of world Outflows","Count","543"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","Rest of world Net","Count","-158"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","Total Inflows","Count","4252"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","Total Outflows","Count","4800"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","Total Net","Count","-548"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","Other changes","Count","473"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","Migration and other changes","Count","-75"
"Components of population change - Local Government Districts","2019-2020","Causeway Coast and Glens","End population","Count","144943"
"Components of population change - Local Government Districts","2019-2020","Derry City and Strabane","Starting population","Count","151284"
"Components of population change - Local Government Districts","2019-2020","Derry City and Strabane","Births","Count","1809"
"Components of population change - Local Government Districts","2019-2020","Derry City and Strabane","Deaths","Count","1211"
"Components of population change - Local Government Districts","2019-2020","Derry City and Strabane","Natural Change","Count","598"
"Components of population change - Local Government Districts","2019-2020","Derry City and Strabane","Internal Inflows","Count","2601"
